ID,Clasificación,Ponderación,Sumatoria Ponderaciones,Contador,Grado de Conocimiento,Matriz Ponderación,Matriz Inferencia,Matriz Inferencia Final,Dificultad,Discriminación,Adivinación,Asintota,Orden Evaluación
98,4,12.78125,100,9,2,"100,0,0","26.3613112725287,37.79061846680707,35.84807026066422","63.18065563626435,18.895309233403538,17.924035130332115",-1.97142857,1,0.263613112725287,1,-1
178,3,33,67,1,2,"100,0,0","18.77084719799114,38.744111626660626,42.485041175348236","100.0,0.0,0.0",-0.25714286,1,0.18770847197991142,1,0
179,1,0,100,1,2,"0,0,0","23.23324342226928,31.848107114925966,44.91864946280475","0,0,0",-0.25714286,1,0.23233243422269279,1,-1
180,1,0,100,1,2,"0,0,0","32.894742605549425,32.186805111419865,34.91845228303071","0,0,0",-0.25714286,1,0.32894742605549426,1,-1
32,4,14.796875,100,9,2,"100,0,0","31.06672628298821,28.2195651672749,40.71370854973688","65.5333631414941,14.10978258363745,20.35685427486844",-2.05714286,1,0.3106672628298821,1,-1
96,4,14.284090909090908,100,12,2,"100,0,0","38.119077198517374,33.94372145220378,27.93720134927885","69.05953859925869,16.971860726101887,13.968600674639422",-2.14285714,1,0.38119077198517376,1,-1
97,3,67,100,1,2,"0,100,0","12.050168189274165,19.161888416779085,68.78794339394675","6.025084094637083,59.58094420838954,34.393971696973374",-2.05714286,1,0.12050168189274166,1,4
169,1,0,100,1,2,"0,0,0","41.9346394870321,30.33412597096682,27.731234542001086","0,0,0",-1.11428571,1,0.419346394870321,1,-1
177,4,41.25,100,2,2,"100,0,0","25.162089050549223,33.81259941196631,41.02531153748446","62.802206157340564,16.58246708278993,20.615326759869514",-0.34285714,1,0.25162089050549225,1,-1
31,4,14.7578125,100,17,2,"100,0,0","39.96576032504458,27.997084540577553,32.03715513437786","69.98288016252229,13.998542270288777,16.01857756718893",-2.14285714,1,0.39965760325044575,1,-1
95,4,46.8984375,100,49,2,"100,0,0","24.280328878408618,28.360211480129827,47.35945964146156","62.14016443920431,14.180105740064914,23.67972982073078",-2.22857143,1,0.2428032887840862,1,-1
101,4,49.88157894736842,100,20,2,"100,0,0","26.176649735711194,35.205565334842554,38.61778492944626","63.0883248678556,17.602782667421277,19.30889246472313",-2.31428571,1,0.26176649735711194,1,-1
168,1,0,100,1,2,"0,0,0","32.31044921656901,30.037749966085634,37.651800817345354","0,0,0",-1.2,1,0.3231044921656901,1,-1
175,4,28.90625,100,3,2,"100,0,0","27.130012831130568,30.740586322255204,42.12940084661423","63.565006415565286,15.370293161127599,21.064700423307116",-0.42857143,1,0.2713001283113057,1,-1
