tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
98,4,17.15,85.75,6,0,"[100, 0, 0]","[26.3613112725287, 37.790618466807075, 35.84807026066423]","[63.18065563626435, 18.895309233403534, 17.92403513033211]",-1.97142857,1.0,0.263613112725287,1,-1
178,3,65,0,1,0,"[100, 0, 0]","[18.77084719799114, 38.74411162666063, 42.485041175348236]","[59.38542359899557, 19.372055813330313, 21.242520587674118]",-0.25714286,1.0,0.18770847197991142,1,4
179,3,85,11.25,2,2,"[0, 0, 100]","[23.233243422269283, 31.848107114925966, 44.91864946280475]","[11.61662171113464, 15.924053557462983, 72.45932473140238]",-0.25714286,1.0,0.2323324342226928,1,6
180,4,11.25,11.25,2,0,"[100, 0, 0]","[32.894742605549425, 32.186805111419865, 34.9184522830307]","[66.44737130277471, 16.093402555709936, 17.45922614151535]",-0.25714286,1.0,0.32894742605549426,1,-1
32,4,18.375,36.75,3,0,"[100, 0, 0]","[31.06672628298822, 28.219565167274908, 40.71370854973688]","[65.5333631414941, 14.109782583637454, 20.35685427486844]",-2.05714286,1.0,0.3106672628298822,1,-1
96,4,36.75,73.5,3,0,"[100, 0, 0]","[38.119077198517274, 33.94372145220375, 27.937201349278972]","[69.05953859925869, 16.97186072610189, 13.968600674639434]",-2.14285714,1.0,0.38119077198517276,1,-1
97,4,27.5625,110.25,5,0,"[100, 0, 0]","[12.05016818927428, 19.16188841677877, 68.78794339394696]","[56.02508409463709, 9.580944208389536, 34.393971696973374]",-2.05714286,1.0,0.1205016818927428,1,-1
169,1,0,0,1,-1,"[0, 0, 0]","[41.9346394870321, 30.33412597096681, 27.731234542001094]","[0, 0, 0]",-1.11428571,1.0,0.419346394870321,1,-1
177,4,49.75,248.75,6,0,"[100, 0, 0]","[25.16208905054923, 33.81259941196632, 41.02531153748446]","[62.58104452527461, 16.90629970598316, 20.51265576874223]",-0.34285714,1.0,0.2516208905054923,1,-1
31,4,36.75,73.5,3,0,"[100, 0, 0]","[39.96576032504478, 27.997084540577276, 32.03715513437794]","[69.98288016252229, 13.998542270288775, 16.01857756718893]",-2.14285714,1.0,0.39965760325044786,1,-1
95,4,49.0,294.0,7,0,"[100, 0, 0]","[24.280328878421763, 28.36021148013551, 47.35945964144272]","[62.140164439204696, 14.180105740065086, 23.679729820730216]",-2.22857143,1.0,0.24280328878421764,1,-1
101,1,0,0,1,-1,"[0, 0, 0]","[26.176649735722414, 35.20556533483796, 38.61778492943964]","[0, 0, 0]",-2.31428571,1.0,0.2617664973572241,1,-1
168,1,0,0,1,-1,"[0, 0, 0]","[32.31044921656952, 30.037749966084586, 37.651800817345894]","[0, 0, 0]",-1.2,1.0,0.32310449216569526,1,-1
175,4,57.708333333333336,346.25,7,0,"[100, 0, 0]","[27.130012831130575, 30.740586322255194, 42.129400846614224]","[63.565006415565286, 15.370293161127602, 21.064700423307116]",-0.42857143,1.0,0.27130012831130573,1,-1
176,4,28.125,56.25,3,0,"[100, 0, 0]","[26.89462117622986, 28.037731151334803, 45.06764767243532]","[63.44731058811493, 14.018865575667409, 22.53382383621766]",-0.42857143,1.0,0.2689462117622986,1,-1
187,4,9.375,28.125,4,0,"[100, 0, 0]","[49.77561227021548, 24.99453912884808, 25.22984860093644]","[74.88780613510755, 12.49726956442364, 12.614924300468806]",0.42857143,1.0,0.4977561227021548,1,-1
190,4,37.0,37.0,2,0,"[100, 0, 0]","[31.028480654109615, 33.94130138376596, 35.030217962124425]","[65.51424032705481, 16.970650691882977, 17.515108981062212]",1.2,1.0,0.31028480654109614,1,-1
195,4,32.625,130.5,5,0,"[100, 0, 0]","[39.66258294076103, 30.34440333402267, 29.993013725216304]","[69.8312914703805, 15.172201667011334, 14.996506862608152]",1.8,1.0,0.39662582940761026,1,-1
209,1,0,0,1,-1,"[0, 0, 0]","[35.35539693093703, 39.98033834420075, 24.66426472486221]","[0, 0, 0]",3.0,1.0,0.35355396930937033,1,-1
30,4,100.0,600,7,2,"[0, 0, 100]","[36.415101925174866, 31.49927090571807, 32.08562716910707]","[18.207550962588414, 15.74963545285882, 66.04281358455276]",-2.4,1.0,0.36415101925174864,1,-1
44,3,73,11.25,2,1,"[0, 100, 0]","[18.77650215699296, 31.044510818052395, 50.17898702495464]","[9.38825107849648, 65.5222554090262, 25.08949351247732]",1.71428571,1.0,0.1877650215699296,1,15
46,3,68,11.25,2,1,"[0, 100, 0]","[18.653146322663833, 34.5899458453427, 46.75690783199347]","[9.326573161331915, 67.29497292267135, 23.378453915996737]",1.71428571,1.0,0.18653146322663833,1,14
47,3,70,11.25,2,1,"[0, 100, 0]","[19.73397687702427, 39.335082108510676, 40.93094101446504]","[9.866988438512134, 69.66754105425534, 20.46547050723252]",1.71428571,1.0,0.19733976877024267,1,16
48,3,50,11.25,2,0,"[100, 0, 0]","[20.907462179102744, 44.07684017169701, 35.01569764920024]","[60.45373108955137, 22.038420085848504, 17.50784882460012]",1.71428571,1.0,0.20907462179102743,1,17
49,4,11.25,11.25,2,0,"[100, 0, 0]","[29.810196667405958, 39.37650510642287, 30.81329822617117]","[64.90509833370298, 19.688252553211434, 15.406649113085583]",1.71428571,1.0,0.2981019666740596,1,-1
50,4,11.25,11.25,2,0,"[100, 0, 0]","[24.06909479215285, 25.880665789925118, 50.050239417922036]","[62.03454739607643, 12.940332894962559, 25.025119708961018]",1.71428571,1.0,0.2406909479215285,1,-1
77,4,18.75,56.25,4,0,"[100, 0, 0]","[36.23837518427497, 28.881811896689662, 34.87981291903537]","[68.11918759216995, 14.440905948372695, 17.439906459457355]",0.34285714,1.0,0.36238375184274974,1,-1
