ID,Clasificación,Ponderación,Sumatoria Ponderaciones,Contador,Grado de Conocimiento,Matriz Ponderación,Matriz Inferencia,Matriz Inferencia Final,Dificultad,Discriminación,Adivinación,Asintota,Orden Evaluación
60,1,0,0,1,-1,"0,0,0","31.20202009988844,33.88501156697069,34.91296833314087","0,0,0",0.94285714,1,0.3120202009988844,1,-1
74,1,0,0,1,-1,"0,0,0","36.42231248554948,31.55683779244039,32.02084972201011","0,0,0",0.25714286,1,0.36422312485549485,1,-1
75,1,0,0,1,-1,"0,0,0","41.0760994923103,28.848890493900292,30.07501001378941","0,0,0",0.25714286,1,0.410760994923103,1,-1
76,1,0,0,1,-1,"0,0,0","42.99985540428931,34.80329602677713,22.196848568933554","0,0,0",0.25714286,1,0.4299985540428931,1,-1
91,1,0,0,1,-1,"0,0,0","31.296014557394376,29.773582826101748,38.93040261650388","0,0,0",-1.45714286,1,0.31296014557394375,1,-1
100,4,10.0625,67,7,1,"100,0,0","33.158543039353496,28.934105651447506,37.907351309199","66.57875275267389,14.46773180329961,18.953515444026507",-2.14285714,1,0.33158543039353494,1,-1
163,1,0,0,1,-1,"0,0,0","31.279109635735697,29.267230363408746,39.45366000085555","0,0,0",-1.45714286,1,0.31279109635735697,1,-1
173,4,67.1875,67.1875,2,1,"0,100,0","34.976009534004746,30.186779549058464,34.8372109169368","17.48839713074877,65.09353934325912,17.418063525992107",-0.6,1,0.3497600953400475,1,-1
185,1,0,0,1,-1,"0,0,0","37.0133441486743,35.025142805229194,27.961513046096513","0,0,0",-0.6,1,0.370133441486743,1,-1
201,1,0,0,1,-1,"0,0,0","43.10995512411747,35.03869990584461,21.85134497003793","0,0,0",2.31428571,1,0.4310995512411747,1,-1
207,1,0,0,1,-1,"0,0,0","27.778592705306288,44.15993254142939,28.061474753264328","0,0,0",2.82857143,1,0.2777859270530629,1,-1
27,4,1.375,67,4,1,"100,0,0","26.996254552133454,29.29773301947846,43.706012428388085","63.49812582604706,14.648863285105177,21.85301088884777",-2.57142857,1,0.26996254552133453,1,-1
33,4,2.0625,33,3,0,"100,0,0","19.924853797024124,26.005922465906888,54.06922373706898","59.96229503615996,13.003163050540675,27.03454191329937",-2.57142857,1,0.19924853797024122,1,-1
34,4,13.375,67,4,1,"100,0,0","15.966876355221975,24.22249779586586,59.81062584891218","57.98413784981089,12.110272541444813,29.9055896087443",-2.57142857,1,0.15966876355221976,1,-1
39,4,17.154411764705884,67,18,1,"100,0,0","13.102723377801201,29.37352435641457,57.52375226578423","56.5513616889006,14.686762178207285,28.761876132892116",-2.57142857,1,0.131027233778012,1,-1
42,1,0,0,1,-1,"0,0,0","27.983977481264414,32.08861339795911,39.92740912077647","0,0,0",1.62857143,1,0.27983977481264416,1,-1
58,1,0,0,1,-1,"0,0,0","41.04217897364645,42.7069146799232,16.250906346430337","0,0,0",0.85714286,1,0.4104217897364645,1,-1
73,1,0,0,1,-1,"0,0,0","25.929340150231305,32.01407327947233,42.05658657029635","0,0,0",0.17142857,1,0.25929340150231306,1,-1
88,1,0,0,1,-1,"0,0,0","28.2815855360595,23.89881744573887,47.81959701820163","0,0,0",-1.54285714,1,0.282815855360595,1,-1
99,4,18.75462962962963,0,28,0,"100,0,0","11.004269657799096,17.375929403622216,71.61980093857868","55.578354682896986,8.755416093841554,35.66622922326146",-2.31428571,1,0.11004269657799096,1,-1
161,4,13.375,33,4,0,"100,0,0","26.952294949710353,31.729208644819007,41.31849640547063","63.64904380386271,15.970304592452178,20.38065160368511",-2.57142857,1,0.26952294949710354,1,-1
170,1,0,0,1,-1,"0,0,0","43.83814133470758,30.915008160748535,25.246850504543882","0,0,0",-1.11428571,1,0.4383814133470758,1,-1
172,4,83.984375,83.984375,2,2,"0,0,100","15.949468638822676,28.10887171448994,55.94165964668739","7.974734077151149,14.054436556503692,77.97082936634516",-0.68571429,1,0.15949468638822675,1,-1
184,1,0,0,1,-1,"0,0,0","31.136876360214437,40.6204929810917,28.24263065869387","0,0,0",-0.68571429,1,0.3113687636021444,1,-1
200,1,0,0,1,-1,"0,0,0","40.98290113348722,31.042024332306323,27.975074534206456","0,0,0",2.22857143,1,0.40982901133487215,1,-1
206,1,0,0,1,-1,"0,0,0","30.042805937679155,40.80003308572176,29.15716097659909","0,0,0",2.74285714,1,0.30042805937679157,1,-1
11,3,67,33,23,0,"0,100,0","7.531186815311091,11.641018414733576,80.82779476995533","3.7655934076555453,55.82050920736679,40.413897384977666",-2.65714286,1,0.0753118681531109,1,5
25,4,3.2708333333333335,0,7,0,"100,0,0","35.07596247249192,24.112176926481467,40.81186060102662","67.53797345928554,12.056098901686704,20.405927639027755",-2.65714286,1,0.35075962472491923,1,-1
57,1,0,0,1,-1,"0,0,0","30.882796613965287,37.890551860249715,31.226651525785005","0,0,0",0.77142857,1,0.30882796613965285,1,-1
63,1,0,0,1,-1,"0,0,0","22.035911913038607,28.85062119655898,49.11346689040242","0,0,0",-0.77142857,1,0.22035911913038608,1,-1
72,1,0,0,1,-1,"0,0,0","32.05811733702647,29.937851954255528,38.004030708718","0,0,0",0.08571429,1,0.32058117337026465,1,-1
80,1,0,0,1,-1,"0,0,0","27.36197256231754,27.82119103999857,44.816836397683886","0,0,0",-1.2,1,0.2736197256231754,1,-1
86,1,0,0,1,-1,"0,0,0","25.023296905041853,28.87260456651764,46.10409852844049","0,0,0",-1.62857143,1,0.25023296905041853,1,-1
183,1,0,0,1,-1,"0,0,0","21.780202338193323,28.04282426601014,50.176973395796544","0,0,0",-0.77142857,1,0.21780202338193322,1,-1
193,1,0,0,1,-1,"0,0,0","32.08521850815332,38.90158087631544,29.013200615531243","0,0,0",1.54285714,1,0.3208521850815332,1,-1
199,1,0,0,1,-1,"0,0,0","29.760025348904108,39.108211983283674,31.13176266781221","0,0,0",2.14285714,1,0.29760025348904107,1,-1
205,1,0,0,1,-1,"0,0,0","31.86001241058019,39.20640133164508,28.933586257774724","0,0,0",2.65714286,1,0.3186001241058019,1,-1
8,3,14,100,7,2,"100,0,0","9.160663347735394,10.97502402237577,79.86431262988883","54.5803316738677,5.487512011187885,39.932156314944415",-2.74285714,1,0.09160663347735394,1,4
9,3,0,33,4,0,"100,0,0","16.989292108669343,27.67870167586784,55.33200621546281","58.495137509203154,13.840568623379296,27.664293867417555",-2.74285714,1,0.16989292108669343,1,7
