ID,Clasificación,Ponderación,Sumatoria Ponderaciones,Contador,Grado de Conocimiento,Matriz Ponderación,Matriz Inferencia,Matriz Inferencia Final,Dificultad,Discriminación,Adivinación,Asintota,Orden Evaluación
98,4,2.09375,0,9,0,"100,0,0","26.361311272458387,37.79061846681921,35.848070260722395","63.18074380337863,18.89528391460676,17.923972282014613",-1.97142857,1,0.2636131127245839,1,-1
178,1,0,0,1,-1,"0,0,0","18.770847197991138,38.74411162666062,42.485041175348236","0,0,0",-0.25714286,1,0.1877084719799114,1,-1
179,1,0,0,1,-1,"0,0,0","23.233243422269283,31.848107114925966,44.91864946280476","0,0,0",-0.25714286,1,0.2323324342226928,1,-1
180,1,0,0,1,-1,"0,0,0","32.894742605549425,32.18680511141987,34.9184522830307","0,0,0",-0.25714286,1,0.32894742605549426,1,-1
32,4,6.770833333333333,33,7,0,"100,0,0","31.066726283206116,28.21956516723304,40.71370854956084","65.5330806482942,14.109826514164844,20.357092837540957",-2.05714286,1,0.31066726283206114,1,-1
96,4,7.171875,0,9,0,"100,0,0","38.119077193975244,33.94372145073316,27.93720135529159","69.06443045852423,16.97207197510877,13.963497566367014",-2.14285714,1,0.3811907719397524,1,-1
97,3,0,0,1,0,"100,0,0","12.050168194640221,19.16188840129169,68.78794340406809","56.018893036617264,9.600661726076842,34.38044523730589",-2.05714286,1,0.12050168194640222,1,1
169,1,0,0,1,-1,"0,0,0","41.9346394870473,30.33412597072204,27.731234542230666","0,0,0",-1.11428571,1,0.419346394870473,1,-1
177,1,0,0,1,-1,"0,0,0","25.16208905054923,33.8125994119663,41.02531153748446","0,0,0",-0.34285714,1,0.2516208905054923,1,-1
31,4,7.729166666666667,0,13,0,"100,0,0","39.96576033431306,27.997084527408077,32.037155138278855","69.96661244691421,14.014773342439218,16.018614210646557",-2.14285714,1,0.3996576033431306,1,-1
95,4,6.363636363636363,11,34,0,"100,0,0","24.28032951585739,28.360211755838083,47.359458728304524","61.33415696638539,13.838378620467697,24.82746441314691",-2.22857143,1,0.24280329515857388,1,-1
101,4,9.51388888888889,0,10,0,"100,0,0","26.17665027943474,35.20556511545301,38.617784605112256","62.6387348252036,17.72319244684666,19.638072727949737",-2.31428571,1,0.2617665027943474,1,-1
168,1,0,0,1,-1,"0,0,0","32.31044923927661,30.037749914054494,37.6518008466689","0,0,0",-1.2,1,0.32310449239276606,1,-1
175,1,0,0,1,-1,"0,0,0","27.130012831130575,30.740586322255197,42.12940084661423","0,0,0",-0.42857143,1,0.27130012831130573,1,-1
176,1,0,0,1,-1,"0,0,0","26.89462117622986,28.037731151334818,45.06764767243533","0,0,0",-0.42857143,1,0.2689462117622986,1,-1
187,1,0,0,1,-1,"0,0,0","49.77561227021548,24.994539128848086,25.229848600936442","0,0,0",0.42857143,1,0.4977561227021548,1,-1
190,1,0,0,1,-1,"0,0,0","31.028480654109618,33.94130138376596,35.030217962124425","0,0,0",1.2,1,0.3102848065410962,1,-1
195,4,0.0,0.0,2,0,"100,0,0","39.66258294075975,30.344403334019926,29.99301372522033","69.95125800359605,15.033700362242165,15.015041634161788",1.8,1,0.3966258294075975,1,-1
209,1,0,0,1,-1,"0,0,0","35.35539693093704,39.98033834420076,24.664264724862207","0,0,0",3,1,0.3535539693093704,1,-1
30,4,13.938636363636364,0,56,0,"100,0,0","36.415101813290065,31.499270945525126,32.08562724118481","68.20755090664503,15.749635472762561,16.04281362059241",-2.4,1,0.36415101813290063,1,-1
44,1,0,0,1,-1,"0,0,0","18.77650215709849,31.044510817849464,50.17898702505204","0,0,0",1.71428571,1,0.1877650215709849,1,-1
46,1,0,0,1,-1,"0,0,0","18.65314632241283,34.58994584546892,46.75690783211826","0,0,0",1.71428571,1,0.1865314632241283,1,-1
47,1,0,0,1,-1,"0,0,0","19.73397687731761,39.33508210825711,40.93094101442526","0,0,0",1.71428571,1,0.19733976877317608,1,-1
