tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
98,1,0,0,1,-1,"[0, 0, 0]","[26.361311272528702, 37.79061846680708, 35.84807026066423]","[0, 0, 0]",-1.97142857,1.0,0.26361311272528704,1,-1
178,3,95,0,1,2,"[0, 0, 100]","[18.770847197991145, 38.74411162666063, 42.48504117534824]","[9.385423598995573, 19.37205581333031, 71.24252058767411]",-0.25714286,1.0,0.18770847197991145,1,1
179,1,0,0,1,-1,"[0, 0, 0]","[23.23324342226928, 31.848107114925966, 44.918649462804744]","[0, 0, 0]",-0.25714286,1.0,0.23233243422269279,1,-1
180,1,0,0,1,-1,"[0, 0, 0]","[32.894742605549425, 32.18680511141987, 34.9184522830307]","[0, 0, 0]",-0.25714286,1.0,0.32894742605549426,1,-1
32,1,0,0,1,-1,"[0, 0, 0]","[31.066726282988206, 28.219565167274908, 40.713708549736886]","[0, 0, 0]",-2.05714286,1.0,0.31066726282988205,1,-1
96,1,0,0,1,-1,"[0, 0, 0]","[38.11907719851758, 33.94372145220385, 27.937201349278563]","[0, 0, 0]",-2.14285714,1.0,0.3811907719851758,1,-1
97,1,0,0,1,-1,"[0, 0, 0]","[12.050168189273906, 19.161888416779835, 68.78794339394626]","[0, 0, 0]",-2.05714286,1.0,0.12050168189273906,1,-1
169,1,0,0,1,-1,"[0, 0, 0]","[41.93463948703211, 30.33412597096682, 27.731234542001072]","[0, 0, 0]",-1.11428571,1.0,0.4193463948703211,1,-1
177,4,100.0,100,2,2,"[0, 0, 100]","[25.162089050549223, 33.81259941196632, 41.025311537484455]","[12.581044525274615, 16.90629970598316, 70.51265576874223]",-0.34285714,1.0,0.25162089050549225,1,-1
31,1,0,0,1,-1,"[0, 0, 0]","[39.96576032504412, 27.99708454057821, 32.03715513437768]","[0, 0, 0]",-2.14285714,1.0,0.39965760325044125,1,-1
95,1,0,0,1,-1,"[0, 0, 0]","[24.280328878378914, 28.36021148011703, 47.35945964150405]","[0, 0, 0]",-2.22857143,1.0,0.24280328878378912,1,-1
101,1,0,0,1,-1,"[0, 0, 0]","[26.1766497356859, 35.20556533485403, 38.61778492946007]","[0, 0, 0]",-2.31428571,1.0,0.261766497356859,1,-1
