tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
98,1,0,0,1,-1,"[0, 0, 0]","[26.361311272528702, 37.79061846680707, 35.848070260664215]","[0, 0, 0]",-1.97142857,1.0,0.26361311272528704,1,-1
178,1,0,0,1,-1,"[0, 0, 0]","[18.770847197991145, 38.74411162666063, 42.48504117534824]","[0, 0, 0]",-0.25714286,1.0,0.18770847197991145,1,-1
179,1,0,0,1,-1,"[0, 0, 0]","[23.23324342226928, 31.848107114925966, 44.918649462804744]","[0, 0, 0]",-0.25714286,1.0,0.23233243422269279,1,-1
180,1,0,0,1,-1,"[0, 0, 0]","[32.894742605549425, 32.18680511141987, 34.9184522830307]","[0, 0, 0]",-0.25714286,1.0,0.32894742605549426,1,-1
32,1,0,0,1,-1,"[0, 0, 0]","[31.0667262829882, 28.219565167274908, 40.713708549736886]","[0, 0, 0]",-2.05714286,1.0,0.310667262829882,1,-1
96,1,0,0,1,-1,"[0, 0, 0]","[38.11907719851759, 33.94372145220385, 27.937201349278567]","[0, 0, 0]",-2.14285714,1.0,0.38119077198517587,1,-1
97,1,0,0,1,-1,"[0, 0, 0]","[12.050168189273906, 19.161888416779835, 68.78794339394625]","[0, 0, 0]",-2.05714286,1.0,0.12050168189273906,1,-1
169,1,0,0,1,-1,"[0, 0, 0]","[41.93463948703211, 30.334125970966824, 27.731234542001076]","[0, 0, 0]",-1.11428571,1.0,0.4193463948703211,1,-1
177,4,11.75,11.75,2,0,"[100, 0, 0]","[25.162089050549223, 33.81259941196632, 41.025311537484455]","[62.58104364796116, 16.906301132661355, 20.51265521937749]",-0.34285714,1.0,0.25162089050549225,1,-1
31,1,0,0,1,-1,"[0, 0, 0]","[39.965760325044116, 27.99708454057821, 32.03715513437766]","[0, 0, 0]",-2.14285714,1.0,0.39965760325044114,1,-1
95,1,0,0,1,-1,"[0, 0, 0]","[24.28032887837891, 28.36021148011703, 47.359459641504046]","[0, 0, 0]",-2.22857143,1.0,0.2428032887837891,1,-1
101,1,0,0,1,-1,"[0, 0, 0]","[26.1766497356859, 35.205565334854036, 38.617784929460065]","[0, 0, 0]",-2.31428571,1.0,0.261766497356859,1,-1
168,1,0,0,1,-1,"[0, 0, 0]","[32.31044921656706, 30.03774996608768, 37.65180081734525]","[0, 0, 0]",-1.2,1.0,0.32310449216567055,1,-1
175,4,23.5,23.5,2,0,"[100, 0, 0]","[27.130012831130575, 30.740586322255194, 42.129400846614224]","[63.564760663094404, 15.370514719153105, 21.064724617752496]",-0.42857143,1.0,0.27130012831130573,1,-1
176,4,23.5,23.5,2,0,"[100, 0, 0]","[26.89462117622986, 28.037731151334818, 45.06764767243533]","[63.44689221166431, 14.018728903677541, 22.534378884658146]",-0.42857143,1.0,0.2689462117622986,1,-1
187,1,0,0,1,-1,"[0, 0, 0]","[49.77561227021548, 24.99453912884808, 25.229848600936442]","[0, 0, 0]",0.42857143,1.0,0.4977561227021548,1,-1
190,3,60,0,1,0,"[100, 0, 0]","[31.028480654109615, 33.94130138376597, 35.030217962124425]","[65.51424032705481, 16.970650691882984, 17.515108981062212]",1.2,1.0,0.31028480654109614,1,28
195,3,76,42.5,2,1,"[0, 100, 0]","[39.66258294075975, 30.344403334019926, 29.99301372522033]","[19.83129147037987, 65.17220166700996, 14.996506862610163]",1.8,1.0,0.3966258294075975,1,16
209,3,89,55.75,3,2,"[0, 0, 100]","[35.35539693093704, 39.98033834420074, 24.66426472486222]","[17.67769846546842, 19.990169172100806, 62.33213236243078]",3.0,1.0,0.3535539693093704,1,6
30,1,0,0,1,-1,"[0, 0, 0]","[36.415101925181325, 31.499270905717207, 32.08562716910146]","[0, 0, 0]",-2.4,1.0,0.36415101925181326,1,-1
44,3,93,95.0,2,2,"[0, 0, 100]","[18.77650215709849, 31.044510817849456, 50.17898702505204]","[9.388251078549246, 15.522255408924732, 75.08949351252602]",1.71428571,1.0,0.1877650215709849,1,17
46,3,85,0,1,2,"[0, 0, 100]","[18.653146322412834, 34.58994584546891, 46.75690783211826]","[9.326573161206415, 17.29497292273446, 73.37845391605913]",1.71428571,1.0,0.18653146322412834,1,1
47,3,87,95.0,2,2,"[0, 0, 100]","[19.73397687731761, 39.33508210825713, 40.93094101442526]","[9.866988438658806, 19.667541054128566, 70.46547050721263]",1.71428571,1.0,0.19733976877317608,1,18
