tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
98,4,6.5,52.0,9,0,"[100, 0, 0]","[26.361311272474232, 37.79061846682387, 35.84807026070191]","[63.18065563626435, 18.895309233403538, 17.92403513033211]",-1.97142857,1.0,0.2636131127247423,1,-1
178,3,0,0,1,0,"[100, 0, 0]","[18.77084719799114, 38.744111626660626, 42.485041175348236]","[59.38542359899557, 19.37205581333031, 21.242520587674118]",-0.25714286,1.0,0.18770847197991142,1,13
179,4,0.0,0.0,2,0,"[100, 0, 0]","[23.233243422269283, 31.848107114925973, 44.91864946280475]","[61.61662171113464, 15.92405355746298, 22.459324731402372]",-0.25714286,1.0,0.2323324342226928,1,-1
180,4,0.0,0.0,2,0,"[100, 0, 0]","[32.894742605549425, 32.18680511141987, 34.9184522830307]","[66.44737130277471, 16.093402555709932, 17.45922614151535]",-0.25714286,1.0,0.32894742605549426,1,-1
32,4,11.722222222222221,105.5,10,0,"[100, 0, 0]","[31.066726283155234, 28.21956516724327, 40.71370854960147]","[65.53336314157762, 14.109782583621639, 20.356854274800742]",-2.05714286,1.0,0.3106672628315523,1,-1
96,4,8.428571428571429,118.0,15,0,"[100, 0, 0]","[38.11907719534491, 33.9437214510413, 27.937201353613794]","[69.05953859767246, 16.971860725520653, 13.9686006768069]",-2.14285714,1.0,0.3811907719534491,1,-1
97,3,0,0,1,0,"[100, 0, 0]","[12.05016819329349, 19.161888405022406, 68.7879434016841]","[56.02508409664675, 9.580944202511203, 34.39397170084206]",-2.05714286,1.0,0.12050168193293491,1,19
169,4,6.25,6.25,2,0,"[100, 0, 0]","[41.934638338647915, 30.334124076962816, 27.73123758438927]","[70.96731916932396, 15.167062038481404, 13.865618792194635]",-1.11428571,1.0,0.41934638338647917,1,-1
177,4,0.0,0.0,5,0,"[100, 0, 0]","[25.162089050549223, 33.81259941196632, 41.02531153748447]","[62.58104452527461, 16.90629970598316, 20.51265576874223]",-0.34285714,1.0,0.25162089050549225,1,-1
31,4,8.271739130434783,190.25,24,0,"[100, 0, 0]","[39.965760332495165, 27.99708453011093, 32.03715513739392]","[69.98288016624758, 13.998542265055464, 16.018577568696955]",-2.14285714,1.0,0.39965760332495165,1,-1
95,4,9.695,484.75,51,0,"[100, 0, 0]","[24.28032933005092, 28.360211674062054, 47.359458995887024]","[62.14016466502546, 14.180105837031027, 23.67972949794351]",-2.22857143,1.0,0.2428032933005092,1,-1
101,4,10.175,203.5,21,0,"[100, 0, 0]","[26.176650119944505, 35.205565146104355, 38.61778473395113]","[63.08832505997225, 17.602782573052178, 19.308892366975567]",-2.31428571,1.0,0.26176650119944506,1,-1
168,4,9.375,18.75,3,0,"[100, 0, 0]","[32.31092310460879, 30.03722489675033, 37.65185199864087]","[66.15546155230439, 15.018612448375162, 18.825925999320436]",-1.2,1.0,0.3231092310460879,1,-1
