tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
98,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-1.97142857,0.0,0.0,0,-1
178,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-0.25714286,0.0,0.0,0,-1
179,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-0.25714286,0.0,0.0,0,-1
180,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-0.25714286,0.0,0.0,0,-1
32,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-2.05714286,0.0,0.0,0,-1
96,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-2.14285714,0.0,0.0,0,-1
97,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-2.05714286,0.0,0.0,0,-1
169,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-1.11428571,0.0,0.0,0,-1
177,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-0.34285714,0.0,0.0,0,-1
31,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-2.14285714,0.0,0.0,0,-1
95,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-2.22857143,0.0,0.0,0,-1
101,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-2.31428571,0.0,0.0,0,-1
168,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-1.2,0.0,0.0,0,-1
175,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-0.42857143,0.0,0.0,0,-1
176,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-0.42857143,0.0,0.0,0,-1
187,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0.42857143,0.0,0.0,0,-1
190,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1.2,0.0,0.0,0,-1
195,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1.8,0.0,0.0,0,-1
209,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",3.0,0.0,0.0,0,-1
30,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-2.4,0.0,0.0,0,-1
44,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1.71428571,0.0,0.0,0,-1
46,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1.71428571,0.0,0.0,0,-1
47,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1.71428571,0.0,0.0,0,-1
48,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1.71428571,0.0,0.0,0,-1
49,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1.71428571,0.0,0.0,0,-1
50,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1.71428571,0.0,0.0,0,-1
77,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0.34285714,0.0,0.0,0,-1
164,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-1.37142857,0.0,0.0,0,-1
165,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-1.28571429,0.0,0.0,0,-1
166,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-1.37142857,0.0,0.0,0,-1
167,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-1.28571429,0.0,0.0,0,-1
174,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-0.51428571,0.0,0.0,0,-1
188,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1.02857143,0.0,0.0,0,-1
189,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1.11428571,0.0,0.0,0,-1
194,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",1.71428571,0.0,0.0,0,-1
208,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",2.91428571,0.0,0.0,0,-1
28,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-2.48571429,0.0,0.0,0,-1
29,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-2.48571429,0.0,0.0,0,-1
59,1,0,0,1,-1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0.94285714,0.0,0.0,0,-1
