tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
98,1,0,0,1,-1,"[0, 0, 0]","[26.361311272528702, 37.790618466807075, 35.84807026066422]","[0, 0, 0]",-1.97142857,1.0,0.26361311272528704,1,-1
178,1,0,0,1,-1,"[0, 0, 0]","[18.770847197991138, 38.744111626660626, 42.485041175348236]","[0, 0, 0]",-0.25714286,1.0,0.1877084719799114,1,-1
179,3,90,0,1,2,"[0, 0, 100]","[23.233243422269286, 31.848107114925973, 44.91864946280476]","[0.0, 0.0, 100.0]",-0.25714286,1.0,0.23233243422269287,1,0
180,1,0,0,1,-1,"[0, 0, 0]","[32.894742605549425, 32.186805111419865, 34.9184522830307]","[0, 0, 0]",-0.25714286,1.0,0.32894742605549426,1,-1
32,1,0,0,1,-1,"[0, 0, 0]","[31.0667262829882, 28.219565167274908, 40.71370854973689]","[0, 0, 0]",-2.05714286,1.0,0.310667262829882,1,-1
96,1,0,0,1,-1,"[0, 0, 0]","[38.1190771985176, 33.94372145220386, 27.937201349278556]","[0, 0, 0]",-2.14285714,1.0,0.38119077198517604,1,-1
97,1,0,0,1,-1,"[0, 0, 0]","[12.0501681892739, 19.161888416779856, 68.78794339394625]","[0, 0, 0]",-2.05714286,1.0,0.12050168189273901,1,-1
169,1,0,0,1,-1,"[0, 0, 0]","[41.93463948703209, 30.334125970966824, 27.731234542001072]","[0, 0, 0]",-1.11428571,1.0,0.41934639487032094,1,-1
177,4,100.0,100,2,2,"[0, 0, 100]","[25.162089050549223, 33.81259941196632, 41.02531153748446]","[12.701663324995502, 16.96576545644004, 70.33257121856447]",-0.34285714,1.0,0.25162089050549225,1,-1
31,1,0,0,1,-1,"[0, 0, 0]","[39.965760325044116, 27.99708454057822, 32.03715513437766]","[0, 0, 0]",-2.14285714,1.0,0.39965760325044114,1,-1
95,1,0,0,1,-1,"[0, 0, 0]","[24.280328878377862, 28.360211480116565, 47.35945964150558]","[0, 0, 0]",-2.22857143,1.0,0.24280328878377863,1,-1
101,1,0,0,1,-1,"[0, 0, 0]","[26.176649735684993, 35.205565334853986, 38.61778492946103]","[0, 0, 0]",-2.31428571,1.0,0.2617664973568499,1,-1
168,1,0,0,1,-1,"[0, 0, 0]","[32.310449216567314, 30.037749966087894, 37.6518008173448]","[0, 0, 0]",-1.2,1.0,0.32310449216567316,1,-1
175,4,100.0,100,2,2,"[0, 0, 100]","[27.130012831130575, 30.740586322255197, 42.12940084661422]","[13.565178320380275, 15.370650599413407, 71.06417108020632]",-0.42857143,1.0,0.27130012831130573,1,-1
176,1,0,0,1,-1,"[0, 0, 0]","[26.89462117622986, 28.03773115133481, 45.06764767243532]","[0, 0, 0]",-0.42857143,1.0,0.2689462117622986,1,-1
187,1,0,0,1,-1,"[0, 0, 0]","[49.77561227021548, 24.99453912884808, 25.229848600936442]","[0, 0, 0]",0.42857143,1.0,0.4977561227021548,1,-1
190,4,15.0,45.0,4,0,"[100, 0, 0]","[31.028480654109615, 33.94130138376595, 35.030217962124425]","[65.51424032705481, 16.970650691882977, 17.515108981062212]",1.2,1.0,0.31028480654109614,1,-1
195,4,34.0,170.0,6,0,"[100, 0, 0]","[39.662582940759485, 30.34440333401936, 29.993013725221157]","[69.83129147037974, 15.17220166700968, 14.996506862610579]",1.8,1.0,0.39662582940759483,1,-1
209,1,0,0,1,-1,"[0, 0, 0]","[35.35539693093703, 39.98033834420075, 24.664264724862207]","[0, 0, 0]",3.0,1.0,0.35355396930937033,1,-1
30,1,0,0,1,-1,"[0, 0, 0]","[36.415101925181844, 31.499270905716582, 32.085627169101585]","[0, 0, 0]",-2.4,1.0,0.3641510192518184,1,-1
44,3,20,0,1,0,"[100, 0, 0]","[18.776502157120216, 31.044510817807698, 50.17898702507209]","[59.38825107856011, 15.522255408903849, 25.089493512536038]",1.71428571,1.0,0.18776502157120217,1,3
