tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
98,4,9.821428571428571,100,8,2,"[100, 0, 0]","[26.361311272458387, 37.79061846681921, 35.848070260722395]","[63.18065563626435, 18.89530923340354, 17.924035130332115]",-1.97142857,1.0,0.2636131127245839,1,-1
178,1,0,100,1,2,"[0, 0, 0]","[18.77084719799114, 38.74411162666062, 42.485041175348236]","[0, 0, 0]",-0.25714286,1.0,0.18770847197991142,1,-1
179,1,0,100,1,2,"[0, 0, 0]","[23.23324342226928, 31.848107114925973, 44.91864946280475]","[0, 0, 0]",-0.25714286,1.0,0.23233243422269279,1,-1
180,1,0,100,1,2,"[0, 0, 0]","[32.894742605549425, 32.186805111419865, 34.918452283030696]","[0, 0, 0]",-0.25714286,1.0,0.32894742605549426,1,-1
32,4,16.71875,100,9,2,"[100, 0, 0]","[31.066726283206116, 28.21956516723304, 40.71370854956084]","[65.53336314160306, 14.10978258361652, 20.35685427478042]",-2.05714286,1.0,0.31066726283206114,1,-1
96,4,14.772727272727273,100,12,2,"[100, 0, 0]","[38.11907719397525, 33.94372145073316, 27.93720135529159]","[69.05953859698762, 16.97186072536658, 13.968600677645796]",-2.14285714,1.0,0.3811907719397525,1,-1
97,4,14.0625,0,13,2,"[100, 0, 0]","[12.050168194640221, 19.16188840129169, 68.78794340406809]","[56.02508409732011, 9.580944200645845, 34.393971702034044]",-2.05714286,1.0,0.12050168194640222,1,-1
169,1,0,100,1,2,"[0, 0, 0]","[41.9346394870473, 30.33412597072204, 27.731234542230666]","[0, 0, 0]",-1.11428571,1.0,0.419346394870473,1,-1
177,1,0,100,1,2,"[0, 0, 0]","[25.162089050549223, 33.81259941196631, 41.02531153748446]","[0, 0, 0]",-0.34285714,1.0,0.25162089050549225,1,-1
31,4,15.625,100,17,2,"[100, 0, 0]","[39.96576033431307, 27.997084527408077, 32.037155138278855]","[69.98288016715654, 13.998542263704039, 16.018577569139435]",-2.14285714,1.0,0.39965760334313066,1,-1
95,4,21.551724137931036,100,30,2,"[100, 0, 0]","[24.280329515857385, 28.360211755838083, 47.359458728304524]","[62.14016475792869, 14.180105877919043, 23.679729364152266]",-2.22857143,1.0,0.24280329515857385,1,-1
101,4,21.59090909090909,100,12,2,"[100, 0, 0]","[26.17665027943474, 35.205565115453005, 38.61778460511225]","[63.08832513971737, 17.602782557726503, 19.308892302556124]",-2.31428571,1.0,0.2617665027943474,1,-1
168,1,0,100,1,2,"[0, 0, 0]","[32.31044923927661, 30.037749914054494, 37.6518008466689]","[0, 0, 0]",-1.2,1.0,0.32310449239276606,1,-1
